provenance_row_id,form_name,field,source_value,source_concept_name,standard_concept_id,source_concept_code,source_lookup_uri,target_omop_uri
prov-0028,Adverse Event/SAE,observation_source_value,action_taken_17_spfy,Treatment information,40758874,55753-8,,https://athena.ohdsi.org/search-terms/terms/40758874
prov-0029,Adverse Event/SAE,observation_source_value,action_taken_18_spfy,Treatment information,40758874,55753-8,,https://athena.ohdsi.org/search-terms/terms/40758874
prov-0030,Adverse Event/SAE,observation_source_value,action_taken_19_spfy,Treatment information,40758874,55753-8,,https://athena.ohdsi.org/search-terms/terms/40758874
prov-0031,Adverse Event/SAE,observation_source_value,action_taken_1_spfy,Treatment information,40758874,55753-8,,https://athena.ohdsi.org/search-terms/terms/40758874
prov-0032,Adverse Event/SAE,observation_source_value,action_taken_20_spfy,Treatment information,40758874,55753-8,,https://athena.ohdsi.org/search-terms/terms/40758874
prov-0033,Adverse Event/SAE,observation_source_value,action_taken_2_spfy,Treatment information,40758874,55753-8,,https://athena.ohdsi.org/search-terms/terms/40758874
prov-0034,Adverse Event/SAE,observation_source_value,action_taken_3_spfy,Treatment information,40758874,55753-8,,https://athena.ohdsi.org/search-terms/terms/40758874
prov-0035,Adverse Event/SAE,observation_source_value,action_taken_4_spfy,Treatment information,40758874,55753-8,,https://athena.ohdsi.org/search-terms/terms/40758874
prov-0036,Adverse Event/SAE,observation_source_value,action_taken_5_spfy,Treatment information,40758874,55753-8,,https://athena.ohdsi.org/search-terms/terms/40758874
prov-0037,Adverse Event/SAE,observation_source_value,action_taken_6_spfy,Treatment information,40758874,55753-8,,https://athena.ohdsi.org/search-terms/terms/40758874
prov-0038,Adverse Event/SAE,observation_source_value,action_taken_7_spfy,Treatment information,40758874,55753-8,,https://athena.ohdsi.org/search-terms/terms/40758874
prov-0039,Adverse Event/SAE,observation_source_value,action_taken_8_spfy,Treatment information,40758874,55753-8,,https://athena.ohdsi.org/search-terms/terms/40758874
prov-0040,Adverse Event/SAE,observation_source_value,action_taken_9_spfy,Treatment information,40758874,55753-8,,https://athena.ohdsi.org/search-terms/terms/40758874
prov-0041,Adverse Event/SAE,condition_source_value,Acute kidney injury,Acute kidney injury,197320,14669001,,https://athena.ohdsi.org/search-terms/terms/197320
prov-0042,Adverse Event/SAE,condition_source_value,Adrenal insufficiency,Adrenal cortical hypofunction,435508,386584007,,https://athena.ohdsi.org/search-terms/terms/435508
prov-0043,Adverse Event/SAE,condition_source_value,Adult respiratory distress syndrome,Acute respiratory distress syndrome,4195694,67782005,,https://athena.ohdsi.org/search-terms/terms/4195694
prov-0044,Adverse Event/SAE,observation_source_value,adverse_event_10_memo,Adverse event note,706291,LP173419-5,,https://athena.ohdsi.org/search-terms/terms/706291
prov-0045,Adverse Event/SAE,observation_source_value,adverse_event_2_memo,Adverse event note,706291,LP173419-5,,https://athena.ohdsi.org/search-terms/terms/706291
prov-0046,Adverse Event/SAE,observation_source_value,adverse_event_3_memo,Adverse event note,706291,LP173419-5,,https://athena.ohdsi.org/search-terms/terms/706291
prov-0047,Adverse Event/SAE,observation_source_value,adverse_event_4_memo,Adverse event note,706291,LP173419-5,,https://athena.ohdsi.org/search-terms/terms/706291
prov-0048,Adverse Event/SAE,observation_source_value,adverse_event_5_memo,Adverse event note,706291,LP173419-5,,https://athena.ohdsi.org/search-terms/terms/706291
prov-0049,Adverse Event/SAE,observation_source_value,adverse_event_6_memo,Adverse event note,706291,LP173419-5,,https://athena.ohdsi.org/search-terms/terms/706291
prov-0050,Adverse Event/SAE,observation_source_value,adverse_event_7_memo,Adverse event note,706291,LP173419-5,,https://athena.ohdsi.org/search-terms/terms/706291
prov-0051,Adverse Event/SAE,observation_source_value,adverse_event_8_memo,Adverse event note,706291,LP173419-5,,https://athena.ohdsi.org/search-terms/terms/706291
prov-0052,Adverse Event/SAE,observation_source_value,adverse_event_9_memo,Adverse event note,706291,LP173419-5,,https://athena.ohdsi.org/search-terms/terms/706291
prov-0053,Adverse Event/SAE,observation_source_value,adverse_event_intense,Severity,1472146,LA34615-7,,https://athena.ohdsi.org/search-terms/terms/1472146
prov-0054,Adverse Event/SAE,observation_source_value,adverse_event_memo,Adverse event note,706291,LP173419-5,,https://athena.ohdsi.org/search-terms/terms/706291
prov-0055,Adverse Event/SAE,observation_source_value,adverse_evt_outcome,Adverse incident outcome,4231813,405533003,,https://athena.ohdsi.org/search-terms/terms/4231813
prov-0056,Adverse Event/SAE,observation_source_value,adverse_evt_serious,Serious,36662510,LA30751-4,,https://athena.ohdsi.org/search-terms/terms/36662510
prov-0057,Adverse Event/SAE,observation_source_value,ae_10_intensity,Severity,1472146,LA34615-7,,https://athena.ohdsi.org/search-terms/terms/1472146
prov-0058,Adverse Event/SAE,observation_source_value,ae_10_ongoing,Ongoing,45878805,LA9040-2,,https://athena.ohdsi.org/search-terms/terms/45878805
prov-0059,Adverse Event/SAE,observation_source_value,ae_11_intensity,Severity,1472146,LA34615-7,,https://athena.ohdsi.org/search-terms/terms/1472146
prov-0060,Adverse Event/SAE,observation_source_value,ae_11_memo,Adverse event note,706291,LP173419-5,,https://athena.ohdsi.org/search-terms/terms/706291
prov-0061,Adverse Event/SAE,observation_source_value,ae_11_ongoing,Ongoing,45878805,LA9040-2,,https://athena.ohdsi.org/search-terms/terms/45878805
prov-0062,Adverse Event/SAE,observation_source_value,ae_12_intensity,Severity,1472146,LA34615-7,,https://athena.ohdsi.org/search-terms/terms/1472146
prov-0063,Adverse Event/SAE,observation_source_value,ae_12_memo,Adverse event note,706291,LP173419-5,,https://athena.ohdsi.org/search-terms/terms/706291
prov-0064,Adverse Event/SAE,observation_source_value,ae_12_ongoing,Ongoing,45878805,LA9040-2,,https://athena.ohdsi.org/search-terms/terms/45878805
prov-0065,Adverse Event/SAE,observation_source_value,ae_13_intensity,Severity,1472146,LA34615-7,,https://athena.ohdsi.org/search-terms/terms/1472146
prov-0066,Adverse Event/SAE,observation_source_value,ae_13_memo,Adverse event note,706291,LP173419-5,,https://athena.ohdsi.org/search-terms/terms/706291
prov-0067,Adverse Event/SAE,observation_source_value,ae_13_ongoing,Ongoing,45878805,LA9040-2,,https://athena.ohdsi.org/search-terms/terms/45878805
prov-0068,Adverse Event/SAE,observation_source_value,ae_14_intensity,Severity,1472146,LA34615-7,,https://athena.ohdsi.org/search-terms/terms/1472146
prov-0069,Adverse Event/SAE,observation_source_value,ae_14_memo,Adverse event note,706291,LP173419-5,,https://athena.ohdsi.org/search-terms/terms/706291
prov-0070,Adverse Event/SAE,observation_source_value,ae_14_ongoing,Ongoing,45878805,LA9040-2,,https://athena.ohdsi.org/search-terms/terms/45878805
prov-0071,Adverse Event/SAE,observation_source_value,ae_15_intensity,Severity,1472146,LA34615-7,,https://athena.ohdsi.org/search-terms/terms/1472146
prov-0072,Adverse Event/SAE,observation_source_value,ae_15_memo,Adverse event note,706291,LP173419-5,,https://athena.ohdsi.org/search-terms/terms/706291
