feature,importance,n_subjects,study,panel
Sex,0.0,10,SDY569,B
age_years,0.08686942205414033,10,SDY569,B
disease_duration_years,0.0,10,SDY569,B
bmi,0.14416843662571474,10,SDY569,B
height_cm,0.2580039313714814,10,SDY569,B
weight_kg,0.3320589348854554,10,SDY569,B
GAD65,0.10676549506435803,10,SDY569,B
IA2IC,0.01604397468883803,10,SDY569,B
MIAA,0.04997036393105064,10,SDY569,B
ZNT8,0.0,10,SDY569,B
ICA,0.0,10,SDY569,B
received_active_treatment,0.006119441378961373,10,SDY569,B
