feature,coefficient,n_subjects,study,panel,alpha
__intercept__,-1.1606001993453687,72,SDY524,B,1.0
Sex,0.09549510013512513,72,SDY524,B,1.0
age_years,0.055583170267659,72,SDY524,B,1.0
disease_duration_years,0.21646849273875968,72,SDY524,B,1.0
bmi,0.32680046431428167,72,SDY524,B,1.0
height_cm,0.2974264719359624,72,SDY524,B,1.0
weight_kg,0.38851897338894725,72,SDY524,B,1.0
GAD65,-0.20287593081733554,72,SDY524,B,1.0
IA2IC,-0.048821016996473274,72,SDY524,B,1.0
MIAA,0.059776668266107086,72,SDY524,B,1.0
ZNT8,0.04252121520556265,72,SDY524,B,1.0
ICA,0.0,72,SDY524,B,1.0
received_active_treatment,0.11197280506392909,72,SDY524,B,1.0
