feature,importance,n_subjects,study,panel
MIAA,0.21729258806809784,49,SDY797,A
GAD65,0.07645277618503944,49,SDY797,A
IA2IC,0.18525857384258204,49,SDY797,A
ICA,0.16215568954857815,49,SDY797,A
ZNT8,0.1470896990310822,49,SDY797,A
8-12,0.0,49,SDY797,A
13-17,0.0,49,SDY797,A
>18,0.0,49,SDY797,A
Sex,0.2117506733246204,49,SDY797,A
