feature,coefficient,n_subjects,study,panel,alpha
__intercept__,-0.33574596162402015,10,SDY569,A,1.0
MIAA,0.08711596767494437,10,SDY569,A,1.0
GAD65,-0.08629870104922614,10,SDY569,A,1.0
IA2IC,0.2380688651013258,10,SDY569,A,1.0
ICA,0.0,10,SDY569,A,1.0
ZNT8,0.0,10,SDY569,A,1.0
8-12,-0.600542986856339,10,SDY569,A,1.0
13-17,0.4311337742619959,10,SDY569,A,1.0
>18,0.16940921259434402,10,SDY569,A,1.0
Sex,-0.07118827945437506,10,SDY569,A,1.0
