feature,SDY524,SDY569,SDY797,SDY1737,median
MIAA,0.2279692517844452,0.2900254033555632,0.2172925880680978,0.1600380564489526,0.2226309199262715
GAD65,0.2096222978056883,0.1547988272721064,0.0764527761850394,0.3645635351535892,0.18221056253889734
IA2IC,0.2188326042225907,0.1340581203528961,0.185258573842582,0.1311726068795521,0.15965834709773905
ZNT8,0.1496513415874651,0.0,0.1470896990310822,0.2111959547041925,0.14837052030927367
8-12,0.0989435551593614,0.2946275729843419,0.0,0.0297924599703109,0.06436800756483615
Sex,0.0651447833314142,0.0242574834366634,0.2117506733246204,0.0163897029807293,0.0447011333840388
>18,0.0039374950890274,0.102232592598429,0.0,0.0480216625390139,0.025979578814020653
13-17,0.0258986710200074,0.0,0.0,0.0388260213236592,0.0129493355100037
ICA,0.0,0.0,0.1621556895485781,0.0,0.0
