feature,importance,n_subjects,study,panel
MIAA,0.22796925178444527,75,SDY524,A
GAD65,0.2096222978056883,75,SDY524,A
IA2IC,0.21883260422259077,75,SDY524,A
ICA,0.0,75,SDY524,A
ZNT8,0.14965134158746513,75,SDY524,A
8-12,0.09894355515936146,75,SDY524,A
13-17,0.025898671020007476,75,SDY524,A
>18,0.0039374950890274105,75,SDY524,A
Sex,0.06514478333141421,75,SDY524,A
