feature,importance,n_subjects,study,panel
Sex,0.004958317565843341,16,SDY1737,B
age_years,0.09651292331412507,16,SDY1737,B
disease_duration_years,0.09274101014631718,16,SDY1737,B
bmi,0.13484046347694364,16,SDY1737,B
height_cm,0.03848268169692893,16,SDY1737,B
weight_kg,0.14037549037964542,16,SDY1737,B
GAD65,0.2180416919141968,16,SDY1737,B
IA2IC,0.06453492579961406,16,SDY1737,B
MIAA,0.09768887548489465,16,SDY1737,B
ZNT8,0.11182362022149084,16,SDY1737,B
ICA,0.0,16,SDY1737,B
received_active_treatment,0.0,16,SDY1737,B
