feature,coefficient,selected,n_subjects,study,panel,alpha
__intercept__,-0.15152951323652053,0,10,SDY569,A,0.0657019247891142
MIAA,0.0,0,10,SDY569,A,0.0657019247891142
GAD65,-0.0,0,10,SDY569,A,0.0657019247891142
IA2IC,0.0,0,10,SDY569,A,0.0657019247891142
ICA,0.0,0,10,SDY569,A,0.0657019247891142
ZNT8,0.0,0,10,SDY569,A,0.0657019247891142
8-12,-0.6874588768851991,1,10,SDY569,A,0.0657019247891142
13-17,0.0,0,10,SDY569,A,0.0657019247891142
>18,0.0,0,10,SDY569,A,0.0657019247891142
Sex,-0.0,0,10,SDY569,A,0.0657019247891142
