feature,coefficient,selected,n_subjects,study,panel,alpha
__intercept__,-0.927835877099279,0,72,SDY524,B,0.01412244961866872
Sex,0.03516996721181879,1,72,SDY524,B,0.01412244961866872
age_years,0.0,0,72,SDY524,B,0.01412244961866872
disease_duration_years,0.0,0,72,SDY524,B,0.01412244961866872
bmi,0.0,0,72,SDY524,B,0.01412244961866872
height_cm,0.0,0,72,SDY524,B,0.01412244961866872
weight_kg,0.6982457688087788,1,72,SDY524,B,0.01412244961866872
GAD65,-0.041673231962475604,1,72,SDY524,B,0.01412244961866872
IA2IC,-0.0,0,72,SDY524,B,0.01412244961866872
MIAA,0.0,0,72,SDY524,B,0.01412244961866872
ZNT8,-0.0,0,72,SDY524,B,0.01412244961866872
ICA,0.0,0,72,SDY524,B,0.01412244961866872
received_active_treatment,0.07724506294957471,1,72,SDY524,B,0.01412244961866872
