,SDY524,SDY569,SDY797,SDY1737,FedAvg_by_N,Simple_mean,Median,IQR
MIAA,0.1214099092443649,0.0871159676749443,0.0571824809273683,0.367599924922437,0.12440295489517898,0.1583270706922786,0.10426293845965459,0.10332481717583263
GAD65,-0.2787758140644638,-0.0862987010492261,0.0069667104993113,0.5900549518206696,-0.07992616681153385,0.05798678680157275,-0.0396659952749574,0.2871567501326864
IA2IC,-0.1189354735556691,0.2380688651013258,0.2305776156687179,0.0459344844048882,0.03662522035055643,0.09891137290481569,0.13825605003680305,0.22773343311212102
ICA,0.0,0.0,-0.1958660900457042,0.0,-0.06398292274826338,-0.04896652251142605,0.0,0.04896652251142605
ZNT8,0.1739902555044129,0.0,0.0562901196605531,0.4361027520302901,0.15190086039121808,0.166595781798814,0.11514018758248301,0.1973007898904674
8-12,-0.1908932342139704,-0.600542986856339,0.0,0.1232173450443161,-0.12233963275934741,-0.16705471900649832,-0.0954466171069852,0.32411000863564154
13-17,0.0612935564826059,0.4311337742619959,0.0,0.0815683502662776,0.06808965388717228,0.14349892025271985,0.07143095337444175,0.12298953890325276
>18,0.1295996777313618,0.169409212594344,0.0,-0.2047856953105933,0.05424997887217388,0.02355579875377812,0.0647998388656809,0.19074848527475569
Sex,0.142713222902545,-0.071188279454375,0.2068462518501591,0.2057537422255898,0.15612756759609572,0.12103123438097972,0.1742334825640674,0.1167890223184171
