feature,coefficient,n_subjects,study,panel,alpha
__intercept__,-1.3421120605567078,10,SDY569,B,1.0
Sex,-0.034871519790952994,10,SDY569,B,1.0
age_years,0.16543749346852904,10,SDY569,B,1.0
disease_duration_years,0.0,10,SDY569,B,1.0
bmi,0.3755373826932004,10,SDY569,B,1.0
height_cm,0.275142022798606,10,SDY569,B,1.0
weight_kg,0.31391120286533464,10,SDY569,B,1.0
GAD65,0.09037680347207824,10,SDY569,B,1.0
IA2IC,0.2726761690424259,10,SDY569,B,1.0
MIAA,-0.010396568141439792,10,SDY569,B,1.0
ZNT8,0.0,10,SDY569,B,1.0
ICA,0.0,10,SDY569,B,1.0
received_active_treatment,0.30044230999063304,10,SDY569,B,1.0
