feature,coefficient,selected,n_subjects,study,panel,alpha
__intercept__,-0.4783749348657558,0,16,SDY1737,B,0.06988734171517162
Sex,0.002259262636088029,1,16,SDY1737,B,0.06988734171517162
age_years,-0.0,0,16,SDY1737,B,0.06988734171517162
disease_duration_years,-0.0,0,16,SDY1737,B,0.06988734171517162
bmi,-0.0,0,16,SDY1737,B,0.06988734171517162
height_cm,-0.0,0,16,SDY1737,B,0.06988734171517162
weight_kg,-0.0,0,16,SDY1737,B,0.06988734171517162
GAD65,0.18024589533924198,1,16,SDY1737,B,0.06988734171517162
IA2IC,-0.0,0,16,SDY1737,B,0.06988734171517162
MIAA,0.0,0,16,SDY1737,B,0.06988734171517162
ZNT8,0.0,0,16,SDY1737,B,0.06988734171517162
ICA,0.0,0,16,SDY1737,B,0.06988734171517162
received_active_treatment,0.0,0,16,SDY1737,B,0.06988734171517162
