feature,coefficient,n_subjects,study,panel,alpha
__intercept__,-0.6773087665594123,75,SDY524,A,1.0
MIAA,0.048210827920580394,75,SDY524,A,1.0
GAD65,-0.20019755404725087,75,SDY524,A,1.0
IA2IC,-0.11561998167446673,75,SDY524,A,1.0
ICA,0.0,75,SDY524,A,1.0
ZNT8,0.10819089734355565,75,SDY524,A,1.0
8-12,-0.31153175662616134,75,SDY524,A,1.0
13-17,0.15298416647594054,75,SDY524,A,1.0
>18,0.1585475901502223,75,SDY524,A,1.0
Sex,0.2155816518367377,75,SDY524,A,1.0
