feature,coefficient,n_subjects,study,panel,alpha
__intercept__,-0.6967577534111761,16,SDY1737,A,1.0
MIAA,-0.12194579902585863,16,SDY1737,A,1.0
GAD65,0.480651504167767,16,SDY1737,A,1.0
IA2IC,0.10755321143413255,16,SDY1737,A,1.0
ICA,0.0,16,SDY1737,A,1.0
ZNT8,-0.12157547864852682,16,SDY1737,A,1.0
8-12,0.15344443423085477,16,SDY1737,A,1.0
13-17,0.029764095245097925,16,SDY1737,A,1.0
>18,-0.1832085294759526,16,SDY1737,A,1.0
Sex,0.2214280981157065,16,SDY1737,A,1.0
