feature,importance,n_subjects,study,panel
MIAA,0.16003805644895266,16,SDY1737,A
GAD65,0.36456353515358925,16,SDY1737,A
IA2IC,0.13117260687955218,16,SDY1737,A
ICA,0.0,16,SDY1737,A
ZNT8,0.21119595470419256,16,SDY1737,A
8-12,0.029792459970310933,16,SDY1737,A
13-17,0.03882602132365926,16,SDY1737,A
>18,0.04802166253901399,16,SDY1737,A
Sex,0.016389702980729316,16,SDY1737,A
