feature,coefficient,selected,n_subjects,study,panel,alpha
__intercept__,-0.4137019853895657,0,16,SDY1737,A,0.09238695277019178
MIAA,0.0,0,16,SDY1737,A,0.09238695277019178
GAD65,0.0,0,16,SDY1737,A,0.09238695277019178
IA2IC,0.0,0,16,SDY1737,A,0.09238695277019178
ICA,0.0,0,16,SDY1737,A,0.09238695277019178
ZNT8,0.0,0,16,SDY1737,A,0.09238695277019178
8-12,0.0,0,16,SDY1737,A,0.09238695277019178
13-17,0.0,0,16,SDY1737,A,0.09238695277019178
>18,0.0,0,16,SDY1737,A,0.09238695277019178
Sex,0.0,0,16,SDY1737,A,0.09238695277019178
