feature,coefficient,n_subjects,study,panel,alpha
__intercept__,-0.5395563599017261,49,SDY797,A,1.0
MIAA,0.05718248092736835,49,SDY797,A,1.0
GAD65,0.006966710499311365,49,SDY797,A,1.0
IA2IC,0.23057761566871793,49,SDY797,A,1.0
ICA,-0.19586609004570427,49,SDY797,A,1.0
ZNT8,0.05629011966055312,49,SDY797,A,1.0
8-12,0.0,49,SDY797,A,1.0
13-17,0.0,49,SDY797,A,1.0
>18,0.0,49,SDY797,A,1.0
Sex,0.2068462518501591,49,SDY797,A,1.0
