feature,importance,n_subjects,study,panel
MIAA,0.2900254033555632,10,SDY569,A
GAD65,0.1547988272721064,10,SDY569,A
IA2IC,0.13405812035289616,10,SDY569,A
ICA,0.0,10,SDY569,A
ZNT8,0.0,10,SDY569,A
8-12,0.29462757298434195,10,SDY569,A
13-17,0.0,10,SDY569,A
>18,0.102232592598429,10,SDY569,A
Sex,0.024257483436663455,10,SDY569,A
