Study,Layer,Param,Index,Value
SDY569,layer_0,weight,"(0, 0, 0, 0)",0.27225503
SDY569,layer_0,weight,"(0, 0, 0, 1)",0.15897255
SDY569,layer_0,weight,"(0, 0, 0, 2)",-0.00089112646
SDY569,layer_0,weight,"(0, 0, 0, 3)",0.15231813
SDY569,layer_0,weight,"(1, 0, 0, 0)",0.65462536
SDY569,layer_0,weight,"(1, 0, 0, 1)",-0.24999659
SDY569,layer_0,weight,"(1, 0, 0, 2)",0.62464947
SDY569,layer_0,weight,"(1, 0, 0, 3)",-0.080657974
SDY569,layer_0,weight,"(2, 0, 0, 0)",-0.4275838
SDY569,layer_0,weight,"(2, 0, 0, 1)",0.09143964
SDY569,layer_0,weight,"(2, 0, 0, 2)",-0.29042307
SDY569,layer_0,weight,"(2, 0, 0, 3)",0.43203285
SDY569,layer_0,bias,"(0,)",0.0533234
SDY569,layer_0,bias,"(1,)",0.053371795
SDY569,layer_0,bias,"(2,)",0.04506479
SDY569,layer_0,bias,"(3,)",-0.011427772
SDY569,layer_1,weight,"(0, 0)",-0.26810333
SDY569,layer_1,weight,"(0, 1)",0.3753936
SDY569,layer_1,weight,"(1, 0)",-0.0064165755
SDY569,layer_1,weight,"(1, 1)",0.17585999
SDY569,layer_1,weight,"(2, 0)",0.20459509
SDY569,layer_1,weight,"(2, 1)",0.03658966
SDY569,layer_1,weight,"(3, 0)",0.21563327
SDY569,layer_1,weight,"(3, 1)",0.4574402
SDY569,layer_1,weight,"(4, 0)",0.32528004
SDY569,layer_1,weight,"(4, 1)",0.44951183
SDY569,layer_1,weight,"(5, 0)",0.112564415
SDY569,layer_1,weight,"(5, 1)",-0.087682426
SDY569,layer_1,weight,"(6, 0)",0.40550825
SDY569,layer_1,weight,"(6, 1)",0.4840876
SDY569,layer_1,weight,"(7, 0)",0.026640143
SDY569,layer_1,weight,"(7, 1)",0.11180934
SDY569,layer_1,weight,"(8, 0)",-0.26898116
SDY569,layer_1,weight,"(8, 1)",-0.28346664
SDY569,layer_1,weight,"(9, 0)",-0.43362606
SDY569,layer_1,weight,"(9, 1)",0.21092992
SDY569,layer_1,weight,"(10, 0)",-0.12852189
SDY569,layer_1,weight,"(10, 1)",0.049901627
SDY569,layer_1,weight,"(11, 0)",-0.06876286
SDY569,layer_1,weight,"(11, 1)",-0.25704566
SDY569,layer_1,weight,"(12, 0)",0.32827014
SDY569,layer_1,weight,"(12, 1)",0.14809981
SDY569,layer_1,weight,"(13, 0)",-0.2304666
SDY569,layer_1,weight,"(13, 1)",0.25642833
SDY569,layer_1,weight,"(14, 0)",-0.33775076
SDY569,layer_1,weight,"(14, 1)",0.08446441
SDY569,layer_1,weight,"(15, 0)",0.35694188
SDY569,layer_1,weight,"(15, 1)",-0.18255685
SDY569,layer_1,weight,"(16, 0)",-0.014512358
SDY569,layer_1,weight,"(16, 1)",-0.031709693
SDY569,layer_1,weight,"(17, 0)",0.33591223
SDY569,layer_1,weight,"(17, 1)",0.47506103
SDY569,layer_1,weight,"(18, 0)",0.031480525
SDY569,layer_1,weight,"(18, 1)",0.32316032
SDY569,layer_1,weight,"(19, 0)",0.08546662
SDY569,layer_1,weight,"(19, 1)",0.1472717
SDY569,layer_1,weight,"(20, 0)",0.31264284
SDY569,layer_1,weight,"(20, 1)",-0.028122336
SDY569,layer_1,weight,"(21, 0)",-0.1122257
SDY569,layer_1,weight,"(21, 1)",0.27543673
SDY569,layer_1,weight,"(22, 0)",-0.1703654
SDY569,layer_1,weight,"(22, 1)",-0.1446292
SDY569,layer_1,weight,"(23, 0)",-0.33316064
SDY569,layer_1,weight,"(23, 1)",-0.24305843
SDY569,layer_1,weight,"(24, 0)",-0.08793059
SDY569,layer_1,weight,"(24, 1)",0.2921944
SDY569,layer_1,weight,"(25, 0)",-0.46743342
SDY569,layer_1,weight,"(25, 1)",-0.16586912
SDY569,layer_1,weight,"(26, 0)",0.32843366
SDY569,layer_1,weight,"(26, 1)",0.009062746
SDY569,layer_1,weight,"(27, 0)",0.083762765
SDY569,layer_1,weight,"(27, 1)",0.33028305
SDY569,layer_1,bias,"(0,)",-0.045397684
SDY569,layer_1,bias,"(1,)",0.052710332
SDY569,layer_2,weight,"(0, 0)",-0.34357268
SDY569,layer_2,weight,"(0, 1)",0.0384719
SDY569,layer_2,weight,"(0, 2)",-0.15661213
SDY569,layer_2,weight,"(0, 3)",-0.30389675
SDY569,layer_2,weight,"(0, 4)",0.081751026
SDY569,layer_2,weight,"(0, 5)",-0.40889162
SDY569,layer_2,weight,"(0, 6)",0.076724455
SDY569,layer_2,weight,"(0, 7)",-0.004354
SDY569,layer_2,weight,"(0, 8)",-0.25691018
SDY569,layer_2,weight,"(0, 9)",-0.438026
SDY569,layer_2,weight,"(0, 10)",0.011761379
SDY569,layer_2,weight,"(0, 11)",-0.35007766
SDY569,layer_2,weight,"(0, 12)",-0.42412636
SDY569,layer_2,weight,"(0, 13)",-0.029006958
SDY569,layer_2,weight,"(0, 14)",0.3404438
SDY569,layer_2,weight,"(0, 15)",0.20984969
SDY569,layer_2,weight,"(0, 16)",0.09142717
SDY569,layer_2,weight,"(0, 17)",0.09446751
SDY569,layer_2,weight,"(0, 18)",-0.08114132
SDY569,layer_2,weight,"(0, 19)",-0.18430325
SDY569,layer_2,weight,"(0, 20)",-0.06719425
SDY569,layer_2,weight,"(0, 21)",-0.020093828
SDY569,layer_2,weight,"(0, 22)",-0.44674078
SDY569,layer_2,weight,"(0, 23)",0.36487272
SDY569,layer_2,weight,"(0, 24)",0.07213997
SDY569,layer_2,weight,"(0, 25)",0.34452862
SDY569,layer_2,weight,"(0, 26)",0.04733317
SDY569,layer_2,weight,"(0, 27)",0.25914404
SDY569,layer_2,weight,"(1, 0)",-0.0537996
SDY569,layer_2,weight,"(1, 1)",-0.38970932
SDY569,layer_2,weight,"(1, 2)",0.19122039
SDY569,layer_2,weight,"(1, 3)",0.05655432
SDY569,layer_2,weight,"(1, 4)",0.3119544
SDY569,layer_2,weight,"(1, 5)",0.1416303
SDY569,layer_2,weight,"(1, 6)",-0.16703475
SDY569,layer_2,weight,"(1, 7)",-0.291436
SDY569,layer_2,weight,"(1, 8)",0.33735806
SDY569,layer_2,weight,"(1, 9)",-0.2919163
SDY569,layer_2,weight,"(1, 10)",0.049928244
SDY569,layer_2,weight,"(1, 11)",0.24912536
SDY569,layer_2,weight,"(1, 12)",0.13805664
SDY569,layer_2,weight,"(1, 13)",-0.3667409
SDY569,layer_2,weight,"(1, 14)",-0.10583032
SDY569,layer_2,weight,"(1, 15)",-0.28706676
SDY569,layer_2,weight,"(1, 16)",0.03502237
SDY569,layer_2,weight,"(1, 17)",0.07370194
SDY569,layer_2,weight,"(1, 18)",-0.35622332
SDY569,layer_2,weight,"(1, 19)",0.13219595
SDY569,layer_2,weight,"(1, 20)",-0.0009631264
SDY569,layer_2,weight,"(1, 21)",-0.19241789
SDY569,layer_2,weight,"(1, 22)",0.26613706
SDY569,layer_2,weight,"(1, 23)",-0.09741437
SDY569,layer_2,weight,"(1, 24)",0.10222087
SDY569,layer_2,weight,"(1, 25)",-0.24689198
SDY569,layer_2,weight,"(1, 26)",-0.20129979
SDY569,layer_2,weight,"(1, 27)",-0.42364296
SDY569,layer_2,bias,"(0,)",0.0
SDY569,layer_2,bias,"(1,)",-0.0059600654
SDY569,layer_2,bias,"(2,)",-0.043360252
SDY569,layer_2,bias,"(3,)",-0.030783173
SDY569,layer_2,bias,"(4,)",0.045504324
SDY569,layer_2,bias,"(5,)",0.033877216
SDY569,layer_2,bias,"(6,)",-0.0059640347
SDY569,layer_2,bias,"(7,)",0.0
SDY569,layer_2,bias,"(8,)",0.04663136
SDY569,layer_2,bias,"(9,)",0.0
SDY569,layer_2,bias,"(10,)",-0.043454032
SDY569,layer_2,bias,"(11,)",-0.044771887
SDY569,layer_2,bias,"(12,)",-0.056607794
SDY569,layer_2,bias,"(13,)",0.0
SDY569,layer_2,bias,"(14,)",-0.0294205
SDY569,layer_2,bias,"(15,)",-0.005962668
SDY569,layer_2,bias,"(16,)",-0.04659159
SDY569,layer_2,bias,"(17,)",-0.0484128
SDY569,layer_2,bias,"(18,)",0.0
SDY569,layer_2,bias,"(19,)",0.054574024
SDY569,layer_2,bias,"(20,)",-0.0049366825
SDY569,layer_2,bias,"(21,)",0.0
SDY569,layer_2,bias,"(22,)",-0.018930875
SDY569,layer_2,bias,"(23,)",0.051100336
SDY569,layer_2,bias,"(24,)",-0.0463834
SDY569,layer_2,bias,"(25,)",-0.020349652
SDY569,layer_2,bias,"(26,)",0.032142285
SDY569,layer_2,bias,"(27,)",-0.0038875528
SDY569,layer_3,weight,"(0, 0, 0, 0)",0.16362178
SDY569,layer_3,weight,"(0, 0, 1, 0)",-0.19893318
SDY569,layer_3,weight,"(0, 0, 2, 0)",-0.5796866
SDY569,layer_3,weight,"(0, 0, 3, 0)",-0.21796085
SDY569,layer_3,weight,"(1, 0, 0, 0)",0.61127687
SDY569,layer_3,weight,"(1, 0, 1, 0)",-0.24067833
SDY569,layer_3,weight,"(1, 0, 2, 0)",0.13279693
SDY569,layer_3,weight,"(1, 0, 3, 0)",-0.36781573
SDY569,layer_3,weight,"(2, 0, 0, 0)",0.67681205
SDY569,layer_3,weight,"(2, 0, 1, 0)",0.609427
SDY569,layer_3,weight,"(2, 0, 2, 0)",-0.39802703
SDY569,layer_3,weight,"(2, 0, 3, 0)",-0.18712664
SDY569,layer_3,bias,"(0,)",0.043663297
