Study,Layer,Param,Index,Value
SDY524,layer_0,weight,"(0, 0, 0, 0)",0.14956638
SDY524,layer_0,weight,"(0, 0, 0, 1)",0.07660154
SDY524,layer_0,weight,"(0, 0, 0, 2)",0.18414028
SDY524,layer_0,weight,"(0, 0, 0, 3)",0.07316758
SDY524,layer_0,weight,"(0, 0, 0, 4)",0.12522645
SDY524,layer_0,weight,"(0, 0, 0, 5)",-0.13467996
SDY524,layer_0,weight,"(0, 0, 0, 6)",0.28363463
SDY524,layer_0,weight,"(0, 0, 0, 7)",0.0025498043
SDY524,layer_0,weight,"(0, 1, 0, 0)",0.33441722
SDY524,layer_0,weight,"(0, 1, 0, 1)",-0.04791148
SDY524,layer_0,weight,"(0, 1, 0, 2)",0.1777714
SDY524,layer_0,weight,"(0, 1, 0, 3)",0.09696198
SDY524,layer_0,weight,"(0, 1, 0, 4)",0.23607573
SDY524,layer_0,weight,"(0, 1, 0, 5)",0.01800006
SDY524,layer_0,weight,"(0, 1, 0, 6)",-0.089564376
SDY524,layer_0,weight,"(0, 1, 0, 7)",-0.013559596
SDY524,layer_0,weight,"(0, 2, 0, 0)",-0.123637125
SDY524,layer_0,weight,"(0, 2, 0, 1)",0.16728985
SDY524,layer_0,weight,"(0, 2, 0, 2)",0.09069375
SDY524,layer_0,weight,"(0, 2, 0, 3)",-0.07997739
SDY524,layer_0,weight,"(0, 2, 0, 4)",0.03383265
SDY524,layer_0,weight,"(0, 2, 0, 5)",0.22909106
SDY524,layer_0,weight,"(0, 2, 0, 6)",-0.074906655
SDY524,layer_0,weight,"(0, 2, 0, 7)",0.3539532
SDY524,layer_0,weight,"(1, 0, 0, 0)",0.328572
SDY524,layer_0,weight,"(1, 0, 0, 1)",0.23955102
SDY524,layer_0,weight,"(1, 0, 0, 2)",-0.10418852
SDY524,layer_0,weight,"(1, 0, 0, 3)",0.3824529
SDY524,layer_0,weight,"(1, 0, 0, 4)",-0.25982583
SDY524,layer_0,weight,"(1, 0, 0, 5)",-0.014644505
SDY524,layer_0,weight,"(1, 0, 0, 6)",-0.062149506
SDY524,layer_0,weight,"(1, 0, 0, 7)",-0.31123143
SDY524,layer_0,weight,"(1, 1, 0, 0)",0.37382755
SDY524,layer_0,weight,"(1, 1, 0, 1)",-0.06582433
SDY524,layer_0,weight,"(1, 1, 0, 2)",-0.19012861
SDY524,layer_0,weight,"(1, 1, 0, 3)",-0.236762
SDY524,layer_0,weight,"(1, 1, 0, 4)",-0.12739986
SDY524,layer_0,weight,"(1, 1, 0, 5)",0.09888243
SDY524,layer_0,weight,"(1, 1, 0, 6)",0.11317236
SDY524,layer_0,weight,"(1, 1, 0, 7)",0.24497956
SDY524,layer_0,weight,"(1, 2, 0, 0)",0.07359796
SDY524,layer_0,weight,"(1, 2, 0, 1)",-0.2542098
SDY524,layer_0,weight,"(1, 2, 0, 2)",0.2678535
SDY524,layer_0,weight,"(1, 2, 0, 3)",0.29131633
SDY524,layer_0,weight,"(1, 2, 0, 4)",0.2516403
SDY524,layer_0,weight,"(1, 2, 0, 5)",0.044869542
SDY524,layer_0,weight,"(1, 2, 0, 6)",0.21630591
SDY524,layer_0,weight,"(1, 2, 0, 7)",-0.25507548
SDY524,layer_0,weight,"(2, 0, 0, 0)",0.15444066
SDY524,layer_0,weight,"(2, 0, 0, 1)",-0.035786025
SDY524,layer_0,weight,"(2, 0, 0, 2)",0.10398176
SDY524,layer_0,weight,"(2, 0, 0, 3)",0.23887227
SDY524,layer_0,weight,"(2, 0, 0, 4)",0.017901212
SDY524,layer_0,weight,"(2, 0, 0, 5)",-0.2811397
SDY524,layer_0,weight,"(2, 0, 0, 6)",0.022412173
SDY524,layer_0,weight,"(2, 0, 0, 7)",-0.06291975
SDY524,layer_0,weight,"(2, 1, 0, 0)",-0.09771006
