Study,Layer,Param,Index,Value
SDY1625,layer_0,weight,"(0, 0, 0, 0)",0.67807424
SDY1625,layer_0,weight,"(0, 0, 0, 1)",0.22523467
SDY1625,layer_0,weight,"(0, 0, 0, 2)",0.4106372
SDY1625,layer_0,weight,"(0, 0, 0, 3)",-0.43700072
SDY1625,layer_0,weight,"(1, 0, 0, 0)",0.29139057
SDY1625,layer_0,weight,"(1, 0, 0, 1)",-0.35124427
SDY1625,layer_0,weight,"(1, 0, 0, 2)",0.56157726
SDY1625,layer_0,weight,"(1, 0, 0, 3)",0.38121015
SDY1625,layer_0,weight,"(2, 0, 0, 0)",-0.33356014
SDY1625,layer_0,weight,"(2, 0, 0, 1)",-0.20455664
SDY1625,layer_0,weight,"(2, 0, 0, 2)",-0.24985573
SDY1625,layer_0,weight,"(2, 0, 0, 3)",-0.3924478
SDY1625,layer_0,bias,"(0,)",-0.07749336
SDY1625,layer_0,bias,"(1,)",0.04607894
SDY1625,layer_0,bias,"(2,)",0.033032093
SDY1625,layer_0,bias,"(3,)",0.072011
SDY1625,layer_1,weight,"(0, 0)",-0.088732764
SDY1625,layer_1,weight,"(0, 1)",-0.23365219
SDY1625,layer_1,weight,"(1, 0)",-0.0348942
SDY1625,layer_1,weight,"(1, 1)",0.11581059
SDY1625,layer_1,weight,"(2, 0)",0.3199464
SDY1625,layer_1,weight,"(2, 1)",0.37452132
SDY1625,layer_1,weight,"(3, 0)",0.33100587
SDY1625,layer_1,weight,"(3, 1)",-0.11279815
SDY1625,layer_1,weight,"(4, 0)",0.08493544
SDY1625,layer_1,weight,"(4, 1)",0.18929237
SDY1625,layer_1,weight,"(5, 0)",-0.097244106
SDY1625,layer_1,weight,"(5, 1)",-0.05823406
SDY1625,layer_1,weight,"(6, 0)",0.24052837
SDY1625,layer_1,weight,"(6, 1)",0.39454612
SDY1625,layer_1,weight,"(7, 0)",-0.20492709
SDY1625,layer_1,weight,"(7, 1)",-0.019834092
SDY1625,layer_1,weight,"(8, 0)",0.25945616
SDY1625,layer_1,weight,"(8, 1)",-0.31315443
SDY1625,layer_1,weight,"(9, 0)",0.10337034
SDY1625,layer_1,weight,"(9, 1)",0.17059188
SDY1625,layer_1,weight,"(10, 0)",-0.33528113
SDY1625,layer_1,weight,"(10, 1)",0.36669943
SDY1625,layer_1,weight,"(11, 0)",0.10910554
SDY1625,layer_1,weight,"(11, 1)",-0.16634543
SDY1625,layer_1,weight,"(12, 0)",0.17931515
SDY1625,layer_1,weight,"(12, 1)",0.032805026
SDY1625,layer_1,weight,"(13, 0)",0.14534274
SDY1625,layer_1,weight,"(13, 1)",-0.096055634
SDY1625,layer_1,weight,"(14, 0)",-0.45242313
SDY1625,layer_1,weight,"(14, 1)",0.052302256
SDY1625,layer_1,weight,"(15, 0)",0.12750654
SDY1625,layer_1,weight,"(15, 1)",-0.06542277
SDY1625,layer_1,weight,"(16, 0)",-0.19344644
SDY1625,layer_1,weight,"(16, 1)",-0.17001371
SDY1625,layer_1,weight,"(17, 0)",0.3935752
SDY1625,layer_1,weight,"(17, 1)",-0.2566373
SDY1625,layer_1,weight,"(18, 0)",0.03980685
SDY1625,layer_1,weight,"(18, 1)",0.3038319
SDY1625,layer_1,weight,"(19, 0)",0.46715203
SDY1625,layer_1,weight,"(19, 1)",0.35455486
SDY1625,layer_1,weight,"(20, 0)",-0.023146592
SDY1625,layer_1,weight,"(20, 1)",0.17551984
SDY1625,layer_1,weight,"(21, 0)",-0.15038545
SDY1625,layer_1,weight,"(21, 1)",0.054802626
SDY1625,layer_1,weight,"(22, 0)",-0.39248046
SDY1625,layer_1,weight,"(22, 1)",-0.02128371
SDY1625,layer_1,weight,"(23, 0)",0.2550507
SDY1625,layer_1,weight,"(23, 1)",-0.561996
SDY1625,layer_1,weight,"(24, 0)",0.1805054
SDY1625,layer_1,weight,"(24, 1)",-0.11462659
SDY1625,layer_1,weight,"(25, 0)",0.2653762
SDY1625,layer_1,weight,"(25, 1)",0.26484752
SDY1625,layer_1,weight,"(26, 0)",0.30700794
SDY1625,layer_1,weight,"(26, 1)",0.3879577
SDY1625,layer_1,weight,"(27, 0)",-0.3435283
SDY1625,layer_1,weight,"(27, 1)",-0.2586982
SDY1625,layer_1,bias,"(0,)",-0.014336404
SDY1625,layer_1,bias,"(1,)",0.044121403
SDY1625,layer_2,weight,"(0, 0)",0.34970272
SDY1625,layer_2,weight,"(0, 1)",-0.29588622
SDY1625,layer_2,weight,"(0, 2)",0.19726774
SDY1625,layer_2,weight,"(0, 3)",0.13241524
SDY1625,layer_2,weight,"(0, 4)",-0.34626943
SDY1625,layer_2,weight,"(0, 5)",0.36848196
SDY1625,layer_2,weight,"(0, 6)",-0.03818035
SDY1625,layer_2,weight,"(0, 7)",0.24499616
SDY1625,layer_2,weight,"(0, 8)",0.3292187
SDY1625,layer_2,weight,"(0, 9)",-0.036828063
SDY1625,layer_2,weight,"(0, 10)",-0.20284678
SDY1625,layer_2,weight,"(0, 11)",0.4318746
SDY1625,layer_2,weight,"(0, 12)",-0.031096991
SDY1625,layer_2,weight,"(0, 13)",-0.41974053
SDY1625,layer_2,weight,"(0, 14)",0.24079369
SDY1625,layer_2,weight,"(0, 15)",0.3380011
SDY1625,layer_2,weight,"(0, 16)",0.3210324
SDY1625,layer_2,weight,"(0, 17)",-0.074032575
SDY1625,layer_2,weight,"(0, 18)",-0.15004337
SDY1625,layer_2,weight,"(0, 19)",-0.28312874
SDY1625,layer_2,weight,"(0, 20)",-0.45243052
SDY1625,layer_2,weight,"(0, 21)",0.1715243
SDY1625,layer_2,weight,"(0, 22)",0.21908718
SDY1625,layer_2,weight,"(0, 23)",-0.49874336
SDY1625,layer_2,weight,"(0, 24)",0.1875346
SDY1625,layer_2,weight,"(0, 25)",0.4512577
SDY1625,layer_2,weight,"(0, 26)",0.1417712
SDY1625,layer_2,weight,"(0, 27)",-0.32820815
SDY1625,layer_2,weight,"(1, 0)",-0.13195457
SDY1625,layer_2,weight,"(1, 1)",0.062068976
SDY1625,layer_2,weight,"(1, 2)",-0.151254
SDY1625,layer_2,weight,"(1, 3)",-0.28473735
SDY1625,layer_2,weight,"(1, 4)",-0.116752565
SDY1625,layer_2,weight,"(1, 5)",-0.22311045
SDY1625,layer_2,weight,"(1, 6)",-0.002086043
SDY1625,layer_2,weight,"(1, 7)",0.494653
SDY1625,layer_2,weight,"(1, 8)",0.16293752
SDY1625,layer_2,weight,"(1, 9)",0.46660826
SDY1625,layer_2,weight,"(1, 10)",0.078750536
SDY1625,layer_2,weight,"(1, 11)",0.08103341
