Study,Layer,Param,Index,Value
SDY569,layer_0,weight,"(0, 0, 0, 0)",-0.16468963
SDY569,layer_0,weight,"(0, 0, 0, 1)",0.19690195
SDY569,layer_0,weight,"(0, 0, 0, 2)",0.07188106
SDY569,layer_0,weight,"(0, 0, 0, 3)",-0.14686956
SDY569,layer_0,weight,"(0, 0, 0, 4)",-0.19657297
SDY569,layer_0,weight,"(0, 0, 0, 5)",-0.15406795
SDY569,layer_0,weight,"(0, 0, 0, 6)",-0.04522332
SDY569,layer_0,weight,"(0, 0, 0, 7)",-0.10230708
SDY569,layer_0,weight,"(0, 1, 0, 0)",0.22470489
SDY569,layer_0,weight,"(0, 1, 0, 1)",-0.10904886
SDY569,layer_0,weight,"(0, 1, 0, 2)",0.09341825
SDY569,layer_0,weight,"(0, 1, 0, 3)",-0.27861387
SDY569,layer_0,weight,"(0, 1, 0, 4)",0.012132754
SDY569,layer_0,weight,"(0, 1, 0, 5)",-0.08868863
SDY569,layer_0,weight,"(0, 1, 0, 6)",0.016114524
SDY569,layer_0,weight,"(0, 1, 0, 7)",0.13241161
SDY569,layer_0,weight,"(0, 2, 0, 0)",-0.047816385
SDY569,layer_0,weight,"(0, 2, 0, 1)",-0.25313187
SDY569,layer_0,weight,"(0, 2, 0, 2)",0.043517195
SDY569,layer_0,weight,"(0, 2, 0, 3)",-0.053439707
SDY569,layer_0,weight,"(0, 2, 0, 4)",-0.081545584
SDY569,layer_0,weight,"(0, 2, 0, 5)",0.13671626
SDY569,layer_0,weight,"(0, 2, 0, 6)",0.1850221
SDY569,layer_0,weight,"(0, 2, 0, 7)",-0.24394044
SDY569,layer_0,weight,"(1, 0, 0, 0)",-0.2647533
SDY569,layer_0,weight,"(1, 0, 0, 1)",0.07450371
SDY569,layer_0,weight,"(1, 0, 0, 2)",-0.041289587
SDY569,layer_0,weight,"(1, 0, 0, 3)",0.20805484
SDY569,layer_0,weight,"(1, 0, 0, 4)",-0.14870854
SDY569,layer_0,weight,"(1, 0, 0, 5)",0.26010713
SDY569,layer_0,weight,"(1, 0, 0, 6)",-0.26178855
SDY569,layer_0,weight,"(1, 0, 0, 7)",-0.2628438
SDY569,layer_0,weight,"(1, 1, 0, 0)",0.056059767
SDY569,layer_0,weight,"(1, 1, 0, 1)",0.1749648
SDY569,layer_0,weight,"(1, 1, 0, 2)",0.054325145
SDY569,layer_0,weight,"(1, 1, 0, 3)",-0.08121112
SDY569,layer_0,weight,"(1, 1, 0, 4)",-0.089125276
SDY569,layer_0,weight,"(1, 1, 0, 5)",-0.168724
SDY569,layer_0,weight,"(1, 1, 0, 6)",-0.053931847
SDY569,layer_0,weight,"(1, 1, 0, 7)",-0.11769618
SDY569,layer_0,weight,"(1, 2, 0, 0)",-0.026428774
SDY569,layer_0,weight,"(1, 2, 0, 1)",-0.00093310286
SDY569,layer_0,weight,"(1, 2, 0, 2)",-0.17337166
SDY569,layer_0,weight,"(1, 2, 0, 3)",-0.2404401
SDY569,layer_0,weight,"(1, 2, 0, 4)",-0.08689275
SDY569,layer_0,weight,"(1, 2, 0, 5)",0.17919269
SDY569,layer_0,weight,"(1, 2, 0, 6)",-0.08470406
SDY569,layer_0,weight,"(1, 2, 0, 7)",-0.24204956
SDY569,layer_0,weight,"(2, 0, 0, 0)",0.0825069
SDY569,layer_0,weight,"(2, 0, 0, 1)",-0.20310405
SDY569,layer_0,weight,"(2, 0, 0, 2)",0.1946573
SDY569,layer_0,weight,"(2, 0, 0, 3)",0.26627803
SDY569,layer_0,weight,"(2, 0, 0, 4)",0.08790739
SDY569,layer_0,weight,"(2, 0, 0, 5)",-0.16450448
SDY569,layer_0,weight,"(2, 0, 0, 6)",0.31675392
SDY569,layer_0,weight,"(2, 0, 0, 7)",0.17291738
SDY569,layer_0,weight,"(2, 1, 0, 0)",-0.14055783
SDY569,layer_0,weight,"(2, 1, 0, 1)",-0.24743563
SDY569,layer_0,weight,"(2, 1, 0, 2)",0.13682139
SDY569,layer_0,weight,"(2, 1, 0, 3)",0.09824025
SDY569,layer_0,weight,"(2, 1, 0, 4)",0.2932255
SDY569,layer_0,weight,"(2, 1, 0, 5)",-0.023803081
SDY569,layer_0,weight,"(2, 1, 0, 6)",0.12107674
SDY569,layer_0,weight,"(2, 1, 0, 7)",-0.23688295
SDY569,layer_0,weight,"(2, 2, 0, 0)",-0.07883203
SDY569,layer_0,weight,"(2, 2, 0, 1)",-0.12408574
SDY569,layer_0,weight,"(2, 2, 0, 2)",0.23168345
SDY569,layer_0,weight,"(2, 2, 0, 3)",-0.26579872
SDY569,layer_0,weight,"(2, 2, 0, 4)",0.14371915
SDY569,layer_0,weight,"(2, 2, 0, 5)",0.02005282
SDY569,layer_0,weight,"(2, 2, 0, 6)",0.21592756
SDY569,layer_0,weight,"(2, 2, 0, 7)",0.14359546
SDY569,layer_0,bias,"(0,)",-0.0348856
SDY569,layer_0,bias,"(1,)",-0.031946402
SDY569,layer_0,bias,"(2,)",0.042030085
SDY569,layer_0,bias,"(3,)",0.04551903
SDY569,layer_0,bias,"(4,)",0.04246634
SDY569,layer_0,bias,"(5,)",0.0037206984
SDY569,layer_0,bias,"(6,)",-0.032931462
SDY569,layer_0,bias,"(7,)",-0.03735394
SDY569,layer_1,weight,"(0, 0)",-0.27072147
SDY569,layer_1,weight,"(0, 1)",0.2506482
SDY569,layer_1,weight,"(0, 2)",0.16426624
SDY569,layer_1,weight,"(0, 3)",0.07795444
SDY569,layer_1,weight,"(1, 0)",0.22772118
SDY569,layer_1,weight,"(1, 1)",6.6086825e-05
SDY569,layer_1,weight,"(1, 2)",0.052023366
SDY569,layer_1,weight,"(1, 3)",-0.13831365
SDY569,layer_1,weight,"(2, 0)",-0.014598489
SDY569,layer_1,weight,"(2, 1)",0.007261117
SDY569,layer_1,weight,"(2, 2)",0.18660353
SDY569,layer_1,weight,"(2, 3)",-0.00053441187
SDY569,layer_1,weight,"(3, 0)",-0.18933344
SDY569,layer_1,weight,"(3, 1)",0.0404094
