Study,Layer,Param,Index,Value
SDY797,layer_0,weight,"(0, 0, 0, 0)",-0.049791433
SDY797,layer_0,weight,"(0, 0, 0, 1)",0.47474763
SDY797,layer_0,weight,"(0, 0, 0, 2)",-0.5175981
SDY797,layer_0,weight,"(0, 0, 0, 3)",-0.07303973
SDY797,layer_0,weight,"(1, 0, 0, 0)",0.26677987
SDY797,layer_0,weight,"(1, 0, 0, 1)",0.14705218
SDY797,layer_0,weight,"(1, 0, 0, 2)",-0.5663316
SDY797,layer_0,weight,"(1, 0, 0, 3)",0.4983181
SDY797,layer_0,weight,"(2, 0, 0, 0)",0.1989372
SDY797,layer_0,weight,"(2, 0, 0, 1)",-0.055476174
SDY797,layer_0,weight,"(2, 0, 0, 2)",0.19745521
SDY797,layer_0,weight,"(2, 0, 0, 3)",-0.630273
SDY797,layer_0,bias,"(0,)",0.03863929
SDY797,layer_0,bias,"(1,)",0.10176407
SDY797,layer_0,bias,"(2,)",-0.053642858
SDY797,layer_0,bias,"(3,)",0.07335752
SDY797,layer_1,weight,"(0, 0)",0.13897775
SDY797,layer_1,weight,"(0, 1)",-0.21332602
SDY797,layer_1,weight,"(1, 0)",-0.01094654
SDY797,layer_1,weight,"(1, 1)",0.5140927
SDY797,layer_1,weight,"(2, 0)",-0.096237496
SDY797,layer_1,weight,"(2, 1)",0.24494939
SDY797,layer_1,weight,"(3, 0)",0.23192197
SDY797,layer_1,weight,"(3, 1)",0.14520481
SDY797,layer_1,weight,"(4, 0)",-0.16370729
SDY797,layer_1,weight,"(4, 1)",-0.3027336
SDY797,layer_1,weight,"(5, 0)",0.20864457
SDY797,layer_1,weight,"(5, 1)",0.062505394
SDY797,layer_1,weight,"(6, 0)",-0.39236373
SDY797,layer_1,weight,"(6, 1)",0.25027615
SDY797,layer_1,weight,"(7, 0)",0.09344815
SDY797,layer_1,weight,"(7, 1)",-0.47728175
SDY797,layer_1,weight,"(8, 0)",0.4207743
SDY797,layer_1,weight,"(8, 1)",-0.11348853
SDY797,layer_1,weight,"(9, 0)",0.48794377
SDY797,layer_1,weight,"(9, 1)",-0.035850976
SDY797,layer_1,weight,"(10, 0)",-0.53098893
SDY797,layer_1,weight,"(10, 1)",-0.29287902
SDY797,layer_1,weight,"(11, 0)",0.18129945
SDY797,layer_1,weight,"(11, 1)",0.5479126
SDY797,layer_1,weight,"(12, 0)",0.60862464
SDY797,layer_1,weight,"(12, 1)",-0.067722335
SDY797,layer_1,weight,"(13, 0)",0.39182532
SDY797,layer_1,weight,"(13, 1)",0.040738303
SDY797,layer_1,weight,"(14, 0)",-0.38821357
SDY797,layer_1,weight,"(14, 1)",-0.13238467
SDY797,layer_1,weight,"(15, 0)",0.29923162
SDY797,layer_1,weight,"(15, 1)",0.10328502
SDY797,layer_1,weight,"(16, 0)",0.32842058
SDY797,layer_1,weight,"(16, 1)",0.29453725
SDY797,layer_1,weight,"(17, 0)",0.36415502
SDY797,layer_1,weight,"(17, 1)",0.30588672
SDY797,layer_1,weight,"(18, 0)",-0.068033904
SDY797,layer_1,weight,"(18, 1)",-0.026237726
SDY797,layer_1,weight,"(19, 0)",0.39097545
SDY797,layer_1,weight,"(19, 1)",0.04599929
SDY797,layer_1,weight,"(20, 0)",0.30364132
SDY797,layer_1,weight,"(20, 1)",0.121770605
SDY797,layer_1,weight,"(21, 0)",0.110821836
SDY797,layer_1,weight,"(21, 1)",0.20879939
SDY797,layer_1,weight,"(22, 0)",-0.3734076
SDY797,layer_1,weight,"(22, 1)",0.06246364
SDY797,layer_1,weight,"(23, 0)",-0.1681659
SDY797,layer_1,weight,"(23, 1)",0.503941
SDY797,layer_1,weight,"(24, 0)",-0.115516104
SDY797,layer_1,weight,"(24, 1)",0.28980568
SDY797,layer_1,weight,"(25, 0)",0.24705929
SDY797,layer_1,weight,"(25, 1)",0.08003189
SDY797,layer_1,weight,"(26, 0)",-0.31327087
SDY797,layer_1,weight,"(26, 1)",0.3901065
SDY797,layer_1,weight,"(27, 0)",0.2637425
SDY797,layer_1,weight,"(27, 1)",0.4018581
SDY797,layer_1,bias,"(0,)",0.09115161
SDY797,layer_1,bias,"(1,)",0.07225232
SDY797,layer_2,weight,"(0, 0)",0.009961145
SDY797,layer_2,weight,"(0, 1)",0.23995161
SDY797,layer_2,weight,"(0, 2)",-0.16733277
SDY797,layer_2,weight,"(0, 3)",0.42887765
SDY797,layer_2,weight,"(0, 4)",0.34096998
SDY797,layer_2,weight,"(0, 5)",-0.07826171
SDY797,layer_2,weight,"(0, 6)",0.30164683
SDY797,layer_2,weight,"(0, 7)",0.12563331
SDY797,layer_2,weight,"(0, 8)",0.09820345
SDY797,layer_2,weight,"(0, 9)",-0.021118538
SDY797,layer_2,weight,"(0, 10)",-0.07839951
