fold,OLS_pooled,FedAE+Head
0,0.20212685641599545,0.2980861293231861
1,0.24876043802330117,0.22861702681062368
2,0.19992340519586893,0.3198653270204
3,0.3174911759786002,0.6365012939797084
4,0.1513793880107003,0.16129906583538403
