Model,MSE_mean,MSE_ci_lo,MSE_ci_hi,Panel
OLS,0.22393625272489323,0.1809464885658268,0.27625273320542076,A
Ridge,0.22393220246526413,0.1809434496876498,0.2762462856947582,A
CNN,0.29860748354675487,0.23544410556001766,0.36184829361891396,A
AE+CNN,0.23238015252514774,0.17629681420083443,0.2980863653620294,A
