Model,Panel,MSE_mean,MSE_ci_lo,MSE_ci_hi
LASSO,A,0.22880872830815485,0.17307938115688584,0.3000681759238172
Elastic Net,A,0.221438324128228,0.17036506926267933,0.2906007647793798
LASSO,B,0.1935774055065957,0.12029784436097456,0.26543330894318734
Elastic Net,B,0.19789623399468262,0.12004322084210542,0.2745224018171689
