Model,MSE_mean,MSE_ci_lo,MSE_ci_hi
OLS_pooled,0.22393625272489323,0.1809464885658268,0.27625273320542076
FedAE+Head,0.3288737685938604,0.20212007072799237,0.49159724715402986
