Study,N,Protocol,MSE,R2_oof
SDY524,75,5-fold,0.1287316941433939,0.053098512652553054
SDY569,10,5-fold,2.5876145320528985,-5.183616674933325
SDY797,49,5-fold,0.24255297936841333,-0.2505535871273883
SDY1737,16,5-fold,0.5854327423228437,-0.5870192336920121
