feature,median_beta_scaled,iqr_low,iqr_high
MIAA,0.12354122424131476,-0.13975957082230667,0.5472975463785079
GAD65,-0.16320828098485424,-0.6267394029556019,0.4028091957898867
IA2IC,0.3158536054178339,0.16338990889644384,0.4493826778522953
ICA,-3.2959746043559335e-17,-0.055048137397033625,3.8163916471489756e-17
ZNT8,0.14728891954984266,0.043466659438037916,0.3820879979011609
8-12,-0.10570876624234177,-0.4951190856553108,0.08427885135441723
13-17,0.14109059418722564,0.03593630681576523,0.5554748407417383
>18,-0.08643863996973424,-0.2725033394640429,0.04087561418258252
Sex,0.20369837222736015,0.17409363278147333,0.35439819703765896
