fold,OLS,Ridge,CNN,AE+CNN
0,0.20212685641599545,0.20212565103606772,0.2298408317908168,0.2234410330212077
1,0.24876043802330117,0.24875230329546635,0.35962384420961485,0.2247517735871775
2,0.19992340519586893,0.19991754958078473,0.21604104293845644,0.22173164549963692
3,0.3174911759786002,0.317487259293696,0.40207492045334475,0.3479828025744442
4,0.1513793880107003,0.1513782491203059,0.2854567783415416,0.1439935079432724
