fold,Lasso_pooled,Lasso_FedMedian,Lasso_FedAvg_byN,Lasso_ADMM,ADMM_n_iter,coef_diff_admm_vs_pooled
1,0.22823845369373663,0.22318223481613197,0.21840993595287442,0.22590212468557233,8,0.013295438593556053
2,0.21755663011790133,0.2006488889831701,0.19351246392739857,0.20582971659882146,221,0.0705843260843927
3,0.19043465506397778,0.19207834214837385,0.18752706421059345,0.190061042904545,8,0.0
4,0.36760646365626554,0.48358243999572775,0.3743868145602639,0.3938167115534592,8,0.0
5,0.16234201768869835,0.14953261112943247,0.14799925143018872,0.160643231131853,8,0.012434193788845471
