model,MSE_with_SDY797,MSE_without_SDY797,delta
OLS,0.22393625272489323,0.2154824756258294,0.008453777099063836
Ridge,0.22393220246526413,0.21547702334132707,0.008455179123937062
CNN,0.29860748354675487,0.3084414599919018,-0.009833976445146941
AE+CNN,0.23238015252514774,0.21653809607735144,0.015842056447796293
